time,Quantized
0.000646,20
0.0006479999999999999,20
0.00065,19
0.000652,19
0.000654,19
0.000656,18
0.000658,18
0.00066,18
0.0006619999999999999,18
0.000664,18
0.0006659999999999999,18
0.000668,18
0.00067,18
0.000672,18
0.000674,18
0.000676,17
0.000678,17
0.0006799999999999999,17
0.000682,16
0.0006839999999999999,16
0.000686,15
0.0006879999999999999,15
0.00069,14
0.000692,13
0.000694,13
0.000696,12
0.0006979999999999999,11
0.0007,10
0.0007019999999999999,9
0.000704,7
0.0007059999999999999,6
0.000708,5
0.00071,4
0.000712,3
0.000714,2
0.000716,1
0.000718,0
0.0007199999999999999,0
0.000722,0
0.0007239999999999999,0
0.000726,0
0.0007279999999999999,0
0.00073,0
0.000732,0
0.000734,0
0.000736,0
0.0007379999999999999,0
0.00074,0
0.0007419999999999999,0
0.000744,0
0.0007459999999999999,0
0.000748,0
0.00075,0
0.000752,0
0.000754,0
0.0007559999999999999,0
0.000758,0
0.0007599999999999999,0
0.000762,1
0.0007639999999999999,2
0.000766,2
0.000768,3
0.00077,4
0.000772,5
0.000774,6
0.000776,6
0.0007779999999999999,7
0.00078,7
0.0007819999999999999,8
0.000784,8
0.0007859999999999999,9
0.000788,9
0.00079,9
0.000792,9
0.000794,9
0.0007959999999999999,9
0.000798,9
0.0007999999999999999,9
0.000802,9
0.0008039999999999999,9
0.000806,8
0.000808,8
0.00081,8
0.000812,8
0.0008139999999999999,8
0.000816,8
0.0008179999999999999,8
0.00082,8
0.0008219999999999999,8
0.000824,8
0.0008259999999999999,9
0.000828,9
0.00083,10
0.000832,10
0.000834,11
0.0008359999999999999,12
0.000838,13
0.0008399999999999999,14
0.000842,16
0.0008439999999999999,17
0.000846,18
0.000848,20
0.00085,21
0.000852,23
0.0008539999999999999,25
0.000856,27
0.0008579999999999999,28
0.00086,30
0.0008619999999999999,32
0.000864,34
0.0008659999999999999,35
0.000868,37
0.00087,39
0.0008719999999999999,40
0.000874,42
0.0008759999999999999,43
0.000878,44
0.0008799999999999999,46
0.000882,47
0.0008839999999999999,48
0.000886,49
0.000888,50
0.00089,51
0.000892,52
0.0008939999999999999,52
0.000896,53
0.0008979999999999999,54
0.0009,54
0.0009019999999999999,55
0.000904,55
0.000906,56
0.000908,57
0.00091,57
0.0009119999999999999,58
0.000914,59
0.0009159999999999999,59
0.000918,60
0.0009199999999999999,61
0.000922,62
0.0009239999999999999,63
0.000926,64
0.000928,66
0.0009299999999999999,67
0.000932,68
0.0009339999999999999,70
0.000936,72
0.0009379999999999999,74
0.00094,76
0.0009419999999999999,78
0.000944,80
0.000946,82
0.000948,84
0.00095,86
0.0009519999999999999,88
0.000954,91
0.0009559999999999999,93
0.000958,95
0.0009599999999999999,98
0.000962,100
0.0009639999999999999,102
0.000966,104
0.000968,106
0.0009699999999999999,108
0.000972,110
0.0009739999999999999,112
0.000976,114
0.000978,115
0.00098,117
0.000982,118
0.0009839999999999998,120
0.000986,121
0.000988,122
0.00099,124
0.000992,125
0.0009939999999999999,126
0.000996,126
0.000998,127
0.001,128
