time	V(vout)
4.380430918456820e-03	3.636370e+00
4.384176394885171e-03	3.529888e+00
4.390119620093319e-03	3.333402e+00
4.398965502153322e-03	2.995719e+00
4.408731127153322e-03	2.602695e+00
4.418496752153321e-03	2.241958e+00
4.424088995347892e-03	2.066118e+00
4.428391704133910e-03	1.949103e+00
4.431779713402142e-03	1.868123e+00
4.437190987241674e-03	1.757225e+00
4.445404241553792e-03	1.620498e+00
4.455169866553792e-03	1.471392e+00
4.464935491553791e-03	1.285546e+00
4.471682287732366e-03	1.112701e+00
4.474490142102245e-03	1.027785e+00
4.476354611891612e-03	9.670740e-01
4.479383721119478e-03	8.612272e-01
4.484248805698521e-03	6.737943e-01
4.491761480931607e-03	3.505957e-01
4.501527105931606e-03	-9.839251e-02
4.511292730931606e-03	-5.277235e-01
4.519134715531902e-03	-8.246211e-01
4.522617620126018e-03	-9.381379e-01
4.526828292161174e-03	-1.059402e+00
4.531038671224233e-03	-1.163796e+00
4.537652955854980e-03	-1.298452e+00
4.556981810922490e-03	-1.609623e+00
4.566058511491712e-03	-1.797540e+00
4.572233895327534e-03	-1.963007e+00
4.578196885239542e-03	-2.153960e+00
4.584053931771276e-03	-2.367695e+00
4.602566559336325e-03	-3.109322e+00
4.612332184336325e-03	-3.449114e+00
4.620422964460702e-03	-3.661974e+00
4.625809526484738e-03	-3.764392e+00
4.631137455279783e-03	-3.836716e+00
4.639246976338535e-03	-3.903430e+00
4.658778226338534e-03	-4.010834e+00
4.668605007716870e-03	-4.130420e+00
4.678172479171813e-03	-4.317321e+00
4.695326682813250e-03	-4.752825e+00
4.705092307813250e-03	-4.971802e+00
4.713109960518155e-03	-5.090582e+00
4.720799180249794e-03	-5.137473e+00
4.724886490226813e-03	-5.135281e+00
4.731325599980090e-03	-5.098347e+00
4.750476615155314e-03	-4.865544e+00
4.759810572900360e-03	-4.773861e+00
4.768581025632030e-03	-4.741767e+00
4.777967767844232e-03	-4.768219e+00
4.796371099186576e-03	-4.889896e+00
4.806136724186576e-03	-4.895556e+00
4.814536599482017e-03	-4.824153e+00
4.819823473828564e-03	-4.738358e+00
4.825058536222241e-03	-4.624267e+00
4.833051085852918e-03	-4.405806e+00
4.852582335852918e-03	-3.809914e+00
4.862711592257547e-03	-3.567840e+00
4.872060880814107e-03	-3.415574e+00
4.879306020038656e-03	-3.335851e+00
4.889071645038655e-03	-3.248202e+00
4.898837270038655e-03	-3.133537e+00
4.907051403052520e-03	-2.980383e+00
4.912297151604950e-03	-2.846748e+00
4.918676247327610e-03	-2.645405e+00
4.924906218418177e-03	-2.412426e+00
4.934070376133496e-03	-2.026417e+00
4.943836001133496e-03	-1.603647e+00
4.953458298965495e-03	-1.227517e+00
4.958484951781227e-03	-1.059796e+00
4.962624339946701e-03	-9.388030e-01
4.966167288743703e-03	-8.473879e-01
4.971810705468495e-03	-7.225728e-01
4.980306463559401e-03	-5.692006e-01
4.990072088559401e-03	-4.059281e-01
4.999837713559401e-03	-2.050787e-01
5.006089835373138e-03	-3.728702e-02
5.008631549661831e-03	4.135164e-02
5.010596955534415e-03	1.063690e-01
5.013788128221151e-03	2.195635e-01
5.018901242828770e-03	4.190482e-01
5.026738025115406e-03	7.579351e-01
5.036503650115406e-03	1.201535e+00
5.046269275115406e-03	1.615837e+00
5.053626950889260e-03	1.879441e+00
5.058520721099869e-03	2.025099e+00
5.061327360045092e-03	2.097569e+00
5.065848522103292e-03	2.198197e+00
5.072896598571994e-03	2.321327e+00
5.092427848571994e-03	2.584251e+00
5.100900627538889e-03	2.739462e+00
5.108697498993635e-03	2.932366e+00
5.112510839481325e-03	3.044781e+00
5.118553557025106e-03	3.243471e+00
5.137277393574398e-03	3.912570e+00
5.147043018574398e-03	4.200285e+00
5.154521168285512e-03	4.356379e+00
5.160099301131763e-03	4.432354e+00
5.165604598946632e-03	4.475807e+00
5.173933431147565e-03	4.495576e+00
5.193464681147565e-03	4.492019e+00
5.202711649069044e-03	4.551163e+00
5.212680989489016e-03	4.686010e+00
5.230094263231796e-03	5.017324e+00
5.239859888231796e-03	5.167075e+00
5.247504720550562e-03	5.224964e+00
5.255201897618873e-03	5.216938e+00
5.259543504491692e-03	5.183057e+00
5.266342493719020e-03	5.093503e+00
5.285851150829262e-03	4.722981e+00
5.294641841750379e-03	4.584031e+00
5.302768759345157e-03	4.504197e+00
5.312469136883873e-03	4.470810e+00
5.331088552218526e-03	4.475324e+00
5.340854177218525e-03	4.415459e+00
5.348637829672946e-03	4.299598e+00
5.354121385767121e-03	4.177614e+00
5.359539300652909e-03	4.026744e+00
5.367760769111491e-03	3.753495e+00
5.377526394111490e-03	3.397039e+00
5.387292019111490e-03	3.059139e+00
5.394024882992638e-03	2.860897e+00
5.401726268243868e-03	2.679587e+00
5.406598676291802e-03	2.589157e+00
5.414121056955071e-03	2.477448e+00
5.423886681955071e-03	2.351906e+00
5.433652306955070e-03	2.198062e+00
5.441480327964454e-03	2.022285e+00
5.446560526177291e-03	1.875842e+00
5.449174201941663e-03	1.790223e+00
5.453394106844826e-03	1.637987e+00
5.460021872553821e-03	1.368854e+00
5.479364122744680e-03	5.033579e-01
5.488420451596613e-03	1.446403e-01
5.492866767065690e-03	-5.904246e-03
5.494568757905722e-03	-5.857836e-02
5.496847766820048e-03	-1.247966e-01
5.500539469645655e-03	-2.218788e-01
5.506403508443424e-03	-3.527849e-01
5.515158587722790e-03	-5.106562e-01
5.524924212722790e-03	-6.739070e-01
5.534689837722789e-03	-8.751377e-01
5.540458453282078e-03	-1.028263e+00
5.544814206554637e-03	-1.163707e+00
5.548151479897066e-03	-1.278901e+00
5.553486239145990e-03	-1.481555e+00
5.561604306243631e-03	-1.821792e+00
5.571369931243630e-03	-2.245063e+00
5.581135556243630e-03	-2.630311e+00
5.588041887496223e-03	-2.854442e+00
5.592770037465465e-03	-2.979374e+00
5.600523360419198e-03	-3.134094e+00
5.607922271414795e-03	-3.233118e+00
5.627453521414794e-03	-3.419777e+00
5.635456750341866e-03	-3.535680e+00
5.643146373149852e-03	-3.693492e+00
5.653697916961840e-03	-3.980060e+00
5.672864210750038e-03	-4.559298e+00
5.682176997749366e-03	-4.769655e+00
5.690920090357331e-03	-4.883612e+00
5.700320465057834e-03	-4.912915e+00
5.708967719723896e-03	-4.875272e+00
5.728498969723895e-03	-4.750850e+00
5.738890876185874e-03	-4.761904e+00
5.747410858576974e-03	-4.829492e+00
5.765179352258713e-03	-5.049438e+00
5.774944977258713e-03	-5.125949e+00
5.785047732301607e-03	-5.109122e+00
5.794416384342267e-03	-4.990970e+00
5.801674331092364e-03	-4.841001e+00
5.821205581092364e-03	-4.342347e+00
5.829402454181117e-03	-4.166972e+00
5.837085911627186e-03	-4.047732e+00
5.847289983914491e-03	-3.955325e+00
5.866240223644605e-03	-3.850005e+00
5.875837236239133e-03	-3.731036e+00
5.882776505909309e-03	-3.587975e+00
5.888517217118776e-03	-3.430258e+00
5.894171872407930e-03	-3.243112e+00
5.902681060555483e-03	-2.917635e+00
5.912446685555483e-03	-2.519081e+00
5.922212310555483e-03	-2.147326e+00
5.928440101758753e-03	-1.944544e+00
5.932939380651204e-03	-1.818718e+00
5.936138174045754e-03	-1.739923e+00
5.941262896689615e-03	-1.630628e+00
5.949114610321072e-03	-1.494047e+00
5.958880235321072e-03	-1.342923e+00
5.968645860321072e-03	-1.161714e+00
5.975980315475856e-03	-9.781997e-01
5.979133374956411e-03	-8.835752e-01
5.980865267341335e-03	-8.274227e-01
5.983680896127021e-03	-7.299106e-01
5.988216028747336e-03	-5.575662e-01
5.995283303857782e-03	-2.578672e-01
6.005048928857782e-03	1.894922e-01
6.014814553857782e-03	6.243172e-01
6.023262702423693e-03	9.506488e-01
6.027189549247520e-03	1.080035e+00
